user_id,ga_session_id,country,device,type,item_id,date_event,id_event,name,variant,category,price_in_usd,id_user,ltv,date_user,year_month,date_only,day_of_week,hour
16563,15963,US,desktop,purchase,426,2020-11-01 06:17:40,426, Icon Tee Grey, 2XL,Apparel,22,16563,87,2020-11-01 06:03:35,2020-11,2020-11-01,Sunday,6
16563,15963,US,desktop,purchase,427,2020-11-01 06:17:40,427, Pocket Tee Green, 2XL,Apparel,29,16563,87,2020-11-01 06:03:35,2020-11,2020-11-01,Sunday,6
16563,15963,US,desktop,purchase,428,2020-11-01 06:17:40,428, Garden Tee Orange, 2XL,Apparel,20,16563,87,2020-11-01 06:03:35,2020-11,2020-11-01,Sunday,6
16563,15963,US,desktop,purchase,173,2020-11-01 06:17:40,173, Crew Socks,Single Option Only,Apparel,13,16563,87,2020-11-01 06:03:35,2020-11,2020-11-01,Sunday,6
23766,16910,TR,desktop,purchase,173,2020-11-01 12:18:34,173, Crew Socks,Single Option Only,Apparel,13,23766,60,2020-11-01 10:15:53,2020-11,2020-11-01,Sunday,12
23766,16910,TR,desktop,purchase,275,2020-11-01 12:18:34,275, Icon Tee Grey, LG,Apparel,18,23766,60,2020-11-01 10:15:53,2020-11,2020-11-01,Sunday,12
31027,17427,US,desktop,purchase,424,2020-11-01 20:46:35,424, Raincoat Navy, 2XL,Apparel,120,31027,120,2020-11-01 19:35:41,2020-11,2020-11-01,Sunday,20
20141,15965,US,desktop,purchase,430,2020-11-01 23:24:17,430, Chicago Campus Tote,Single Option Only,Campus Collection,6,20141,48,2020-11-01 23:19:02,2020-11,2020-11-01,Sunday,23
20141,15965,US,desktop,purchase,406,2020-11-01 23:24:17,406, Chicago Campus Unisex Tee, LG,Campus Collection,14,20141,48,2020-11-01 23:19:02,2020-11,2020-11-01,Sunday,23
20141,15965,US,desktop,purchase,295,2020-11-01 23:24:17,295, Chicago Campus Mug,Single Option Only,Campus Collection,7,20141,48,2020-11-01 23:19:02,2020-11,2020-11-01,Sunday,23
20141,15965,US,desktop,purchase,431,2020-11-01 23:24:17,431, Chicago Campus Ladies Tee, MD,Campus Collection,14,20141,48,2020-11-01 23:19:02,2020-11,2020-11-01,Sunday,23
